0,nospec_no_specifier_test,1603419628,0
1,nospec_empty_string,1603419628,0
2,nospec_some_escaped_chars,1603419628,0
3,nospec_successive_5_5,1603419628,0
4,nospec_successive_2_9,1603419628,0
5,nospec_successive_8_3,1603419628,0
6,pct_basic,1603419628,1603414674
7,pct_5w,0,1603419628
8,pct_5wlj,0,1603419628
9,pct_5wzp,0,1603419628
10,pct_5wljzp,0,1603419628
11,nocrash_nullspec_basic,0,1603419628
12,nocrash_nullspec_5w,0,1603419628
13,nocrash_nullspec_5wzp,0,1603419628
14,nocrash_nullspec_5wzplj,0,1603419628
15,nocrash_nullspec_5wlj,0,1603419628
16,s_basic_string_expansion,1603419628,0
17,s_only_string_expansion,1603419628,1603414674
18,s_two_string_expansions,1603419628,1603414674
19,s_two_string_expansions2,1603419628,1603414674
20,s_empty_string_expansion,1603419628,0
21,s_full_then_empty_string,1603419628,0
22,s_empty_then_full_string,1603419628,1603414674
23,s_three_strings,1603419628,1603414674
24,s_space_padded_field_width,0,1603419628
25,s_space_padded_field_width2,0,1603419628
26,s_space_padded_over_field_width,1603419628,1603414674
27,s_space_padded_field_width_lj,0,1603419628
28,s_space_padded_field_width2_lj,0,1603419628
29,s_space_padded_over_field_width_lj,1603419628,1603414674
30,s_string_prec_notrunc,1603419628,1603414674
31,s_string_prec_trunc,0,1603419628
32,s_string_prec_default,1603414674,1603419628
33,s_string_prec_zero,1603414674,1603419628
34,s_two_strings_prec_2trunc,0,1603419628
35,s_two_strings_prec_1trunc_a,0,1603419628
36,s_two_strings_prec_1trunc_b,0,1603419628
37,s_two_strings_prec_0trunc,0,1603419628
38,s_string_prec_width_notrunc,0,1603419628
39,s_string_prec_width_trunc,0,1603419628
40,s_string_prec_width_notrunc_lj,0,1603419628
41,s_string_prec_width_trunc_lj,0,1603419628
42,s_two_s_prec_width_2fit_0trunc,0,1603419628
43,s_two_s_prec_width_1fit_a_0trunc,0,1603419628
44,s_two_s_prec_width_1fit_b_0trunc,0,1603419628
45,s_two_s_prec_width_0fit_0trunc,1603419628,1603414674
